"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"671","Artemi Panarin","NYR","C, L","69","1078.9166666667","21","38","22","16","59","78.67"
"541","Leon Draisaitl","EDM","C","71","1163.75","22","34","21","13","56","81.16"
"502","Nathan MacKinnon","COL","C","69","1075.4166666667","18","34","25","9","52","75.36"
"123","Patrick Kane","CHI","R","70","1140.8666666667","19","31","21","10","50","84.75"
"618","Connor McDavid","EDM","C","64","1055.6833333333","21","29","17","12","50","80.65"
"343","Nikita Kucherov","T.B","R","68","957.83333333333","20","28","14","14","48","81.36"
"561","David Pastrnak","BOS","R","70","985.55","25","23","16","7","48","78.69"
"39","Evgeni Malkin","PIT","C","55","805.56666666667","16","30","16","14","46","85.19"
"78","Brad Marchand","BOS","C, L","70","906.23333333333","21","25","20","5","46","75.41"
"547","Nikolaj Ehlers","WPG","L","71","1013.9166666667","18","28","20","8","46","93.88"
"708","Auston Matthews","TOR","C","70","1151.4833333333","30","15","11","4","45","71.43"
"579","Brayden Point","T.B","C","66","943.46666666667","17","27","18","9","44","66.67"
"350","Mark Scheifele","WPG","C","71","1202.2333333333","13","29","17","12","42","62.69"
"356","J.T. Miller","VAN","C","69","991.93333333333","18","24","14","10","42","71.19"
"97","Jonathan Toews","CHI","C","70","939.01666666667","11","30","16","14","41","74.55"
"346","Jonathan Huberdeau","FLA","C, L","69","973.21666666667","15","26","18","8","41","66.13"
"362","Phillip Danault","MTL","C, L","71","990.81666666667","11","30","14","16","41","69.49"
"128","Max Pacioretty","VGK","L","71","1028.4166666667","20","20","14","6","40","71.43"
"614","Kyle Connor","WPG","L","71","1104.9166666667","21","19","12","7","40","76.92"
"792","Elias Pettersson","VAN","C","68","921.78333333333","18","22","15","7","40","64.52"
"208","Tomas Tatar","MTL","L","68","901.76666666667","10","29","14","15","39","73.58"
"351","Sean Couturier","PHI","C","69","964.6","15","24","10","14","39","70.91"
"639","Mathew Barzal","NYI","C","68","1103.55","13","26","20","6","39","79.59"
"141","Steven Stamkos","T.B","C","57","769.01666666667","14","24","17","7","38","77.55"
"157","Roman Josi","NSH","D","69","1308.3166666667","10","28","17","11","38","51.35"
"294","Mark Stone","VGK","R","65","908.15","13","25","17","8","38","76.00"
"546","William Nylander","TOR","C, R","68","981.28333333333","19","19","11","8","38","79.17"
"551","Jakub Vrana","WSH","L","69","850.86666666667","22","16","12","4","38","77.55"
"38","Alex Ovechkin","WSH","L","68","980.01666666667","27","10","7","3","37","77.08"
"207","Reilly Smith","VGK","R","71","933.76666666667","17","20","12","8","37","77.08"
"349","Mika Zibanejad","NYR","C","57","796.35","19","18","11","7","37","80.43"
"629","Sebastian Aho","CAR","C, R","68","918.76666666667","21","16","10","6","37","69.81"
"129","Jakub Voracek","PHI","R","69","913.73333333333","7","29","19","10","36","76.60"
"155","John Carlson","WSH","D","69","1191.9333333333","11","25","15","10","36","56.25"
"188","Ryan O'Reilly","STL","C","71","1016.7166666667","7","29","17","12","36","69.23"
"286","Brendan Gallagher","MTL","R","59","824.65","19","17","11","6","36","67.92"
"503","Aleksander Barkov","FLA","C","66","933.58333333333","13","23","13","10","36","75.00"
"624","Timo Meier","S.J","R","70","960.15","17","19","13","6","36","90.00"
"438","Connor Brown","OTT","R","71","1056.9833333333","13","22","9","13","35","83.33"
"456","Dominik Kubalik","CHI","L","68","812.25","23","12","9","3","35","71.43"
"540","Sam Reinhart","BUF","C","69","1100.7666666667","16","19","13","6","35","72.92"
"619","Jack Eichel","BUF","C","68","1124.65","17","18","8","10","35","63.64"
"718","Patrik Laine","WPG","R","68","1035.3833333333","15","20","10","10","35","66.04"
"344","Ryan Nugent-Hopkins","EDM","C","65","914.01666666667","15","19","12","7","34","75.56"
"549","Kevin Fiala","MIN","L","64","774.8","13","21","14","7","34","82.93"
"552","Dylan Larkin","DET","C","71","1137.0166666667","12","22","12","10","34","68.00"
"796","Robert Thomas","STL","C","66","830.68333333333","9","25","18","7","34","77.27"
"844","Andrei Svechnikov","CAR","R","68","876.93333333333","13","21","7","14","34","62.96"
"105","Nick Bonino","NSH","C","67","796.83333333333","16","17","10","7","33","70.21"
"248","Evgeny Kuznetsov","WSH","C","63","839.8","13","20","12","8","33","73.33"
"255","Brock Nelson","NYI","C","68","951.01666666667","15","18","9","9","33","75.00"
"279","Bryan Rust","PIT","R","55","779.75","16","17","9","8","33","61.11"
"348","Ryan Strome","NYR","C","70","947.38333333333","10","23","16","7","33","57.89"
"392","Teuvo Teravainen","CAR","L","68","891.56666666667","8","25","18","7","33","66.00"
"635","Travis Konecny","PHI","C, R","66","851.78333333333","18","15","8","7","33","80.49"
"746","Pierre-Luc Dubois","CBJ","C, L","70","987.01666666667","15","18","10","8","33","78.57"
"201","Zack Kassian","EDM","R","59","870.53333333333","15","17","9","8","32","64.00"
"262","Jaden Schwartz","STL","C, L","71","1008.7166666667","9","23","13","10","32","82.05"
"470","Pavel Buchnevich","NYR","L, R","68","943.71666666667","11","21","14","7","32","59.26"
"499","Tyler Bertuzzi","DET","L","71","1065.5666666667","16","16","11","5","32","71.11"
"656","Mitchell Marner","TOR","C, R","59","883.51666666667","7","25","17","8","32","76.19"
"705","Matthew Tkachuk","CGY","L","69","974.43333333333","12","20","11","9","32","68.09"
"838","Brady Tkachuk","OTT","L","71","1059.2333333333","17","15","12","3","32","69.57"
"41","Blake Wheeler","WPG","R","71","1003.8666666667","14","17","10","7","31","75.61"
"165","Adam Henrique","ANA","C","71","917.9","18","13","9","4","31","68.89"
"196","Brayden Schenn","STL","C","71","1022.5166666667","14","17","11","6","31","73.81"
"204","Chris Kreider","NYR","C, L","63","819.36666666667","14","17","10","7","31","60.78"
"228","Anders Lee","NYI","C, L","68","1011","15","16","8","8","31","64.58"
"329","Rocco Grimaldi","NSH","C, R","66","806.13333333333","10","21","12","9","31","72.09"
"341","William Karlsson","VGK","C","63","877.28333333333","11","20","13","7","31","72.09"
"539","Aaron Ekblad","FLA","D","67","1210.8833333333","4","27","17","10","31","44.93"
"557","Nick Schmaltz","ARI","C","70","869.3","9","22","14","8","31","75.61"
"57","Anze Kopitar","L.A","C","70","1051.2833333333","12","18","10","8","30","66.67"
"110","James van Riemsdyk","PHI","L","66","791.58333333333","15","15","11","4","30","75.00"
"243","Tyler Toffoli","L.A, VAN","C, R","68","879.38333333333","16","14","8","6","30","76.92"
"268","Taylor Hall","ARI, N.J","L","65","924.75","9","21","17","4","30","75.00"
"310","Johnny Gaudreau","CGY","L","70","1020.6833333333","11","19","13","6","30","75.00"
"396","Filip Forsberg","NSH","L","63","820.71666666667","12","18","12","6","30","76.92"
"481","Andre Burakovsky","COL","L","58","705.86666666667","16","14","9","5","30","73.17"
"556","Tony DeAngelo","NYR","D","68","1032.0833333333","9","21","10","11","30","53.57"
"19","Eric Staal","MIN","C","66","869.93333333333","13","16","12","4","29","61.70"
"100","Alex Killorn","T.B","C, L","68","821.98333333333","16","13","7","6","29","67.44"
"126","Mikael Backlund","CGY","C","70","984.45","8","21","13","8","29","59.18"
"192","John Tavares","TOR","C","63","968.91666666667","13","16","11","5","29","64.44"
"441","Nikita Gusev","N.J","L","66","760.68333333333","8","21","16","5","29","78.38"
"471","Jake Guentzel","PIT","C, L","39","626.18333333333","13","16","13","3","29","78.38"
"506","Elias Lindholm","CGY","C","70","950.73333333333","17","12","8","4","29","69.05"
"609","Andrew Mangiapane","CGY","L","68","861.3","15","14","11","3","29","64.44"
"669","Anthony Cirelli","T.B","C","68","908.36666666667","11","18","13","5","29","60.42"
"153","Jordan Eberle","NYI","C, R","58","842.65","12","16","7","9","28","75.68"
"184","Mike Hoffman","FLA","C, L","69","843.86666666667","14","14","7","7","28","80.00"
"194","Matt Duchene","NSH","C","66","869.75","8","20","11","9","28","68.29"
"238","Mats Zuccarello","MIN","C, R","65","834.18333333333","11","17","9","8","28","71.79"
"303","Ondrej Palat","T.B","L","69","911.6","11","17","11","6","28","54.90"
"366","Jonathan Marchessault","VGK","C","66","930.55","13","15","13","2","28","71.79"
"424","Jaccob Slavin","CAR","D","68","1233.8","5","23","10","13","28","43.08"
"500","Zach Sanford","STL","L","58","719.1","14","14","7","7","28","68.29"
"636","Dylan Strome","CHI","C","58","730.6","8","20","13","7","28","77.78"
"806","Cale Makar","COL","D","57","921.16666666667","8","20","10","10","28","49.12"
"811","Alex Iafallo","L.A","L","70","983.73333333333","8","20","12","8","28","68.29"
"54","Sidney Crosby","PIT","C","41","610.21666666667","9","18","13","5","27","90.00"
"59","T.J. Oshie","WSH","R","69","913.3","13","14","10","4","27","56.25"
"120","David Perron","STL","L","71","1017.0166666667","11","16","11","5","27","60.00"
"133","Lars Eller","WSH","C","69","833.41666666667","10","17","12","5","27","72.97"
"154","Tyler Ennis","EDM, OTT","C, R","70","853.43333333333","11","16","12","4","27","75.00"
"249","Charlie Coyle","BOS","C","70","916.93333333333","12","15","13","2","27","69.23"
"269","Brett Connolly","FLA","R","69","880.98333333333","15","12","5","7","27","67.50"
"334","Brandon Saad","CHI","L","58","752.2","16","11","7","4","27","77.14"
"473","Anthony Duclair","OTT","L","66","795.08333333333","14","13","10","3","27","77.14"
"475","Oliver Bjorkstrand","CBJ","R","49","720.35","18","9","6","3","27","72.97"
"510","Bo Horvat","VAN","C","69","979.45","6","21","13","8","27","75.00"
"513","Max Domi","MTL","C","71","961.65","12","15","11","4","27","58.70"
"559","Kasperi Kapanen","TOR","R","69","851.3","10","17","7","10","27","79.41"
"578","Warren Foegele","CAR","L","68","836.96666666667","10","17","10","7","27","67.50"
"638","Brock Boeser","VAN","R","57","762.08333333333","10","17","9","8","27","57.45"
"684","Conor Garland","ARI","R","68","797.65","16","11","5","6","27","72.97"
"719","Clayton Keller","ARI","C, R","70","892.35","14","13","11","2","27","84.38"
"857","Dominik Kahun","BUF, PIT","C","56","666.2","10","17","10","7","27","75.00"
"20","Ryan Suter","MIN","D","69","1232.2333333333","5","21","10","11","26","41.27"
"26","Ryan Getzlaf","ANA","C","69","980.21666666667","9","17","11","6","26","66.67"
"88","Claude Giroux","PHI","C, R","69","954","11","15","6","9","26","57.78"
"108","Kevin Shattenkirk","T.B","D","70","1154.7333333333","7","19","10","9","26","45.61"
"191","Jakob Silfverberg","ANA","R","66","823.15","13","13","9","4","26","66.67"
"193","Victor Hedman","T.B","D","66","1126.9166666667","7","19","13","6","26","40.63"
"242","Jason Zucker","MIN, PIT","L","60","792.6","10","16","11","5","26","68.42"
"280","Joonas Donskoi","COL","R","65","831.68333333333","10","16","9","7","26","61.90"
"287","Jesper Fast","NYR","R","69","945.51666666667","10","16","8","8","26","57.78"
"316","Vincent Trocheck","CAR, FLA","C","62","831.66666666667","7","19","14","5","26","59.09"
"364","Rickard Rakell","ANA","L, R","65","910.61666666667","11","15","8","7","26","61.90"
"390","Tom Wilson","WSH","R","68","899.61666666667","9","17","7","10","26","57.78"
"497","Artturi Lehkonen","MTL","L","70","874.93333333333","12","14","11","3","26","72.22"
"508","Darnell Nurse","EDM","D","71","1371.2166666667","4","22","8","14","26","40.63"
"520","Anthony Mantha","DET","R","43","637.63333333333","8","18","13","5","26","76.47"
"544","Jake Virtanen","VAN","R","69","809.18333333333","11","15","9","6","26","83.87"
"577","Christian Dvorak","ARI","C, L","70","906.25","10","16","12","4","26","55.32"
"610","Frank Vatrano","FLA","C","69","816.28333333333","9","17","8","9","26","89.66"
"648","Anthony Beauvillier","NYI","L","68","954.95","11","15","11","4","26","66.67"
"660","Joel Eriksson Ek","MIN","C","62","794.76666666667","7","19","11","8","26","63.41"
"673","Noel Acciari","FLA","C","66","841.01666666667","19","7","3","4","26","61.90"
"712","Charlie McAvoy","BOS","D","67","1245.3","2","24","13","11","26","41.94"
"717","Alex DeBrincat","CHI","L, R","70","920.51666666667","7","19","14","5","26","74.29"
"23","Dustin Brown","L.A","L, R","66","951.73333333333","13","12","10","2","25","65.79"
"31","Patrice Bergeron","BOS","C","61","735.43333333333","13","12","4","8","25","54.35"
"125","Evgenii Dadonov","FLA","R","69","894.96666666667","11","14","10","4","25","51.02"
"142","Alex Pietrangelo","STL","D","70","1263.7833333333","8","17","7","10","25","37.88"
"149","Erik Karlsson","S.J","D","56","989.28333333333","4","21","11","10","25","59.52"
"187","Kyle Palmieri","N.J","C, R","65","835.4","13","12","6","6","25","67.57"
"198","Nazem Kadri","COL","C","51","643.73333333333","15","10","6","4","25","62.50"
"209","Tyson Barrie","TOR","D","70","1269.1166666667","4","21","11","10","25","42.37"
"215","Marcus Foligno","MIN","L","59","720.66666666667","11","14","8","6","25","75.76"
"271","Tyler Seguin","DAL","C","69","995.28333333333","9","16","9","7","25","83.33"
"384","Scott Laughton","PHI","C, L","49","593.65","12","13","6","7","25","75.76"
"410","Chris Tierney","OTT","C","71","938.4","5","20","12","8","25","65.79"
"440","Alexander Kerfoot","TOR","C","65","831.7","8","17","11","6","25","58.14"
"507","Sean Monahan","CGY","C","70","977.71666666667","11","14","7","7","25","67.57"
"623","Jordan Greenway","MIN","L","67","834.5","8","17","13","4","25","67.57"
"651","Thomas Chabot","OTT","D","71","1491","6","19","12","7","25","40.32"
"748","Jesper Bratt","N.J","L","60","677.41666666667","14","11","9","2","25","69.44"
"147","Josh Bailey","NYI","C, R","68","868.96666666667","8","16","12","4","24","75.00"
"218","Craig Smith","NSH","C, R","69","751.58333333333","14","10","5","5","24","52.17"
"258","Kevin Hayes","PHI","C, R","69","905.96666666667","12","12","6","6","24","70.59"
"266","Zach Hyman","TOR","C, L","51","787.05","12","12","6","6","24","54.55"
"321","Blake Coleman","N.J, T.B","C","66","857.23333333333","16","8","3","5","24","63.16"
"383","Tanner Pearson","VAN","L","69","906.28333333333","11","13","7","6","24","80.00"
"511","Valeri Nichushkin","COL","R","65","754.38333333333","11","13","5","8","24","58.54"
"560","Jared McCann","PIT","C","66","814.8","11","13","5","8","24","60.00"
"707","Luke Kunin","MIN","C","63","780.53333333333","12","12","6","6","24","72.73"
"789","Nico Hischier","N.J","C","58","770","11","13","6","7","24","75.00"
"802","Martin Necas","CAR","C","64","757.55","11","13","7","6","24","85.71"
"837","Quinn Hughes","VAN","D","68","1132.9","4","20","9","11","24","41.38"
"25","Zach Parise","MIN","L","69","872.05","9","14","6","8","23","60.53"
"27","Brent Burns","S.J","D","70","1325","7","16","9","7","23","40.35"
"65","Kris Letang","PIT","D","61","1149.9333333333","6","17","7","10","23","38.98"
"74","Patric Hornqvist","PIT","R","52","637.31666666667","13","10","4","6","23","79.31"
"106","Ian Cole","COL","D","65","949.91666666667","4","19","7","12","23","47.92"
"168","Gustav Nyquist","CBJ","C","70","964.31666666667","4","19","13","6","23","62.16"
"182","Tyler Johnson","T.B","C","65","766.2","12","11","6","5","23","62.16"
"185","Tyler Bozak","STL","C","67","780.58333333333","10","13","6","7","23","76.67"
"199","Ryan Ellis","NSH","D","49","864.65","3","20","11","9","23","38.98"
"214","Mattias Ekholm","NSH","D","68","1231.25","7","16","10","6","23","41.07"
"645","Jack Roslovic","WPG","C","71","935.55","10","13","11","2","23","62.16"
"662","Jake DeBrusk","BOS","L","65","835.38333333333","12","11","6","5","23","76.67"
"674","Derek Ryan","CGY","C","68","789.91666666667","8","15","9","6","23","76.67"
"753","Alex Nylander","CHI","L","65","705.03333333333","10","13","8","5","23","74.19"
"2","Joe Thornton","S.J","C","70","890.66666666667","4","18","8","10","22","68.75"
"46","Carl Soderberg","ARI","C","70","862.45","9","13","6","7","22","70.97"
"53","Paul Stastny","VGK","C","71","919.28333333333","10","12","6","6","22","59.46"
"79","Nick Foligno","CBJ","L","67","959.48333333333","8","14","7","7","22","61.11"
"94","Nicklas Backstrom","WSH","C","61","827.03333333333","5","17","12","5","22","51.16"
"213","Richard Panik","WSH","R","59","605.38333333333","9","13","5","8","22","64.71"
"270","Ryan Johansen","NSH","C","68","841.75","10","12","4","8","22","61.11"
"327","Jean-Gabriel Pageau","NYI, OTT","C","67","950.03333333333","15","7","3","4","22","61.11"
"345","Gabriel Landeskog","COL","L","54","810.83333333333","10","12","8","4","22","59.46"
"353","Jonas Brodin","MIN","D","69","1246.8833333333","2","20","9","11","22","37.93"
"598","Kevin Labanc","S.J","R","70","903.3","11","11","7","4","22","68.75"
"710","Adam Fox","NYR","D","70","1113.3333333333","6","16","10","6","22","34.92"
"778","Kailer Yamamoto","EDM","R","27","418.1","7","15","11","4","22","73.33"
"794","Nick Suzuki","MTL","C","71","916.03333333333","7","15","9","6","22","75.86"
"32","Shea Weber","MTL","D","65","1147.3166666667","8","13","8","5","21","36.84"
"50","Alexander Edler","VAN","D","59","1007.9833333333","3","18","8","10","21","42.00"
"67","Keith Yandle","FLA","D","69","1034.2","2","19","11","8","21","43.75"
"87","Jeff Petry","MTL","D","71","1272.3166666667","4","17","7","10","21","41.18"
"89","Jordan Staal","CAR","C","68","889.21666666667","6","15","9","6","21","60.00"
"186","Marcus Johansson","BUF","L","60","809.3","6","15","11","4","21","70.00"
"195","Evander Kane","S.J","L","64","927.06666666667","9","12","6","6","21","58.33"
"197","Oliver Ekman-Larsson","ARI","D","66","1143.7166666667","5","16","6","10","21","50.00"
"239","Calle Jarnkrok","NSH","C","64","772.63333333333","9","12","8","4","21","67.74"
"381","Brady Skjei","CAR, NYR","D","67","1160.7833333333","7","14","2","12","21","41.18"
"391","Tomas Hertl","S.J","C","48","640.35","10","11","8","3","21","70.00"
"477","Miles Wood","N.J","L","68","818.98333333333","9","12","9","3","21","75.00"
"480","Ryan Graves","COL","D","69","1058.9666666667","8","13","6","7","21","33.33"
"482","Shea Theodore","VGK","D","71","1262.1333333333","9","12","2","10","21","39.62"
"488","J.T. Compher","COL","L","67","774.03333333333","9","12","7","5","21","60.00"
"516","Ryan Pulock","NYI","D","68","1228","5","16","7","9","21","34.43"
"558","Robby Fabbri","DET, STL","C","61","778.2","9","12","7","5","21","77.78"
"567","Ivan Barbashev","STL","C","69","792.6","7","14","11","3","21","77.78"
"576","Ryan Donato","MIN","C","62","598.66666666667","14","7","2","5","21","70.00"
"626","Mikko Rantanen","COL","R","42","606.65","9","12","8","4","21","67.74"
"687","Dominik Simon","PIT","C","64","859.26666666667","7","14","7","7","21","63.64"
"801","Miro Heiskanen","DAL","D","68","1212.8833333333","3","18","12","6","21","47.73"
"873","Ilya Mikheyev","TOR","R","39","515.78333333333","6","15","8","7","21","77.78"
"3","Patrick Marleau","PIT, S.J","C, L","66","874.21666666667","9","11","6","5","20","51.28"
"47","Alex Goligoski","ARI","D","70","1249.4666666667","2","18","4","14","20","37.04"
"102","Jamie Benn","DAL","L","69","877.61666666667","8","12","7","5","20","64.52"
"109","Pat Maroon","T.B","L","64","678.65","8","12","6","6","20","68.97"
"113","Logan Couture","S.J","C","52","672.01666666667","10","10","8","2","20","76.92"
"116","Kyle Turris","NSH","C","62","733.13333333333","7","13","10","3","20","64.52"
"130","Jake Muzzin","TOR","D","53","966.36666666667","6","14","6","8","20","37.74"
"275","Mikael Granlund","NSH","C","63","868.93333333333","9","11","4","7","20","57.14"
"319","Nick Cousins","MTL, VGK","C","65","765.1","7","13","9","4","20","64.52"
"352","Dougie Hamilton","CAR","D","47","781.46666666667","9","11","7","4","20","51.28"
"372","Yanni Gourde","T.B","C","70","803.33333333333","6","14","6","8","20","66.67"
"401","Oskar Sundqvist","STL","C","57","692.18333333333","11","9","5","4","20","74.07"
"403","Chandler Stephenson","VGK, WSH","C","65","783.1","7","13","8","5","20","47.62"
"413","Damon Severson","N.J","D","69","1191.8666666667","4","16","10","6","20","46.51"
"435","Vinnie Hinostroza","ARI","C, R","68","807.78333333333","5","15","3","12","20","66.67"
"528","Conor Sheary","BUF, PIT","L","63","734.28333333333","9","11","8","3","20","64.52"
"554","Travis Sanheim","PHI","D","69","1136.3","7","13","7","6","20","35.09"
"589","Viktor Arvidsson","NSH","L, R","57","705.76666666667","11","9","5","4","20","68.97"
"591","Danton Heinen","ANA, BOS","C, L","67","796.03333333333","7","13","5","8","20","66.67"
"603","Ondrej Kase","ANA, BOS","R","55","723.06666666667","5","15","9","6","20","64.52"
"646","Zach Werenski","CBJ","D","63","1142.85","10","10","3","7","20","40.82"
"22","Jeff Carter","L.A","C","60","767.76666666667","13","6","4","2","19","82.61"
"43","Travis Zajac","N.J","C","69","902.15","6","13","4","9","19","55.88"
"48","David Krejci","BOS","C","61","850.93333333333","5","14","5","9","19","54.29"
"90","Derick Brassard","NYI","C","66","757.18333333333","6","13","6","7","19","61.29"
"132","Carl Hagelin","WSH","L","58","643.5","6","13","8","5","19","63.33"
"170","Matt Calvert","COL","L","50","572.61666666667","8","11","6","5","19","73.08"
"253","Tyler Pitlick","PHI","C","63","670.21666666667","8","11","9","2","19","61.29"
"259","Cam Fowler","ANA","D","59","1022.9166666667","7","12","3","9","19","42.22"
"265","Jeff Skinner","BUF","C, L","59","795.35","14","5","3","2","19","67.86"
"302","Ryan Dzingel","CAR","C","64","747.26666666667","3","16","12","4","19","70.37"
"314","Sean Kuraly","BOS","C","69","763","6","13","5","8","19","70.37"
"367","Barclay Goodrow","S.J, T.B","C, R","70","866.86666666667","8","11","6","5","19","63.33"
"399","Colton Parayko","STL","D","64","1228.4","6","13","3","10","19","39.58"
"451","Nate Schmidt","VGK","D","59","1045.1666666667","4","15","5","10","19","41.30"
"485","Ryan Hartman","MIN","R","69","741.76666666667","8","11","7","4","19","52.78"
"498","William Carrier","VGK","L","71","685.7","7","12","11","1","19","63.33"
"601","Victor Olofsson","BUF","L, R","54","768.3","6","13","7","6","19","54.29"
"642","Ethan Bear","EDM","D","71","1308.6833333333","4","15","6","9","19","29.69"
"691","Adam Gaudette","VAN","C","59","618.9","7","12","6","6","19","70.37"
"810","Filip Chytil","NYR","C","60","776.71666666667","13","6","5","1","19","61.29"
"845","Rasmus Dahlin","BUF","D","59","888.9","2","17","7","10","19","52.78"
"868","Kirby Dach","CHI","C","64","783.66666666667","8","11","3","8","19","57.58"
"8","Jason Spezza","TOR","C","58","544.75","7","11","9","2","18","69.23"
"42","Alexander Radulov","DAL","R","60","800.1","7","11","6","5","18","64.29"
"210","Dmitry Orlov","WSH","D","69","1275.05","2","16","10","6","18","31.03"
"226","Ben Chiarot","MTL","D","69","1317.8833333333","7","11","6","5","18","33.33"
"337","Joel Edmundson","CAR","D","68","1033.5333333333","6","12","4","8","18","40.91"
"357","Joel Armia","MTL","R","58","755.16666666667","10","8","5","3","18","56.25"
"387","Mike Matheson","FLA","D","59","935.08333333333","7","11","4","7","18","39.13"
"409","Jimmy Vesey","BUF","L","64","780.63333333333","8","10","4","6","18","54.55"
"478","Nick Paul","OTT","L","56","731.78333333333","9","9","5","4","18","72.00"
"479","Andrew Copp","WPG","C","63","863.53333333333","9","9","6","3","18","66.67"
"484","Jason Dickinson","DAL","C","65","779.95","9","9","4","5","18","58.06"
"553","Sonny Milano","ANA, CBJ","L","55","628.53333333333","6","12","7","5","18","81.82"
"597","Anders Bjork","BOS","L","58","679.95","8","10","5","5","18","66.67"
"616","Colin White","OTT","C","61","784.6","5","13","4","9","18","62.07"
"666","John Marino","PIT","D","56","929.23333333333","4","14","9","5","18","40.91"
"734","Tyson Jost","COL","C","67","710.35","7","11","7","4","18","56.25"
"745","Samuel Girard","COL","D","70","1250.9666666667","3","15","8","7","18","33.33"
"836","Joel Farabee","PHI","L","52","623.68333333333","6","12","7","5","18","62.07"
"61","Matt Niskanen","PHI","D","68","1105.8","2","15","5","10","17","31.48"
"81","Kyle Okposo","BUF","R","52","610.71666666667","8","9","8","1","17","85.00"
